utc,freq_khz,dx_call,wpm,snr_db,spotter
19:00:00,14041.2,N5RZ,39,14,OK1HRA
19:00:01,14030.4,EA6BF,29,47,DK3WW
19:00:01,14031.5,EA1X,37,11,DK3WW
19:00:01,14031.5,EA1X,37,10,LZ3CB
19:00:01,14031.5,EA1X,38,14,LZ4AE
19:00:01,14038.0,E70T,34,4,M1GEO
19:00:01,14048.0,G3SNT,25,2,LZ3CB
19:00:02,14030.4,EA6BF,31,20,DK9IP-1
19:00:02,14031.5,EA1X,37,16,LZ7AA
19:00:02,14034.4,KG9X,38,15,W6YX
19:00:02,14034.4,KG9X,38,11,ZF9CW
19:00:02,14037.4,K2WK,34,34,ZF9CW
19:00:02,14039.6,W8CAR,38,18,W6YX
19:00:02,14041.2,N5RZ,39,24,W8WWV
19:00:02,14041.3,N5RZ,39,33,W6YX
19:00:02,14041.3,N5RZ,38,43,ZF9CW
19:00:02,14041.3,N5RZ,39,12,N2YCH
19:00:03,14035.2,VE3JM,33,4,N6TV
19:00:03,14040.0,KC9IL,28,12,N9CO
19:00:03,14041.3,N5RZ,39,16,K5TR
19:00:03,14041.3,N5RZ,39,23,N6TV
19:00:03,14041.3,N5RZ,40,13,W3RGA
19:00:03,14041.3,N5RZ,39,13,WE9V
19:00:04,14027.4,N8KH,37,10,DL8LAS-3
19:00:04,14028.0,HA6NL,32,5,DP5G
19:00:04,14030.4,EA6BF,32,37,HG8A
19:00:04,14030.4,EA6BF,33,42,DL8LAS-3
19:00:04,14031.5,EA1X,39,14,RK3TD-2
19:00:04,14041.3,N5RZ,40,12,K9IMM
19:00:04,14041.3,N5RZ,38,6,WT8P
19:00:04,14043.2,K5UV,38,21,K9IMM
19:00:04,14043.2,K5UV,37,10,K9LC
19:00:05,14027.0,W5TM,38,22,K7EK
19:00:05,14027.4,N8KH,37,7,W2NAF
19:00:05,14030.4,AD4EB,37,8,W2NAF
19:00:05,14030.4,EA6BF,33,35,MM9PSY
19:00:05,14030.4,EA6BF,31,43,DL8LAS-1
19:00:05,14031.0,K3WW,41,9,DL8LAS-1
19:00:05,14031.5,EA1X,37,8,BH4RRG
19:00:05,14041.3,N5RZ,39,32,K1RA-4
19:00:05,14041.3,N5RZ,39,20,K7EK
19:00:05,14041.3,N5RZ,40,16,N2EPE
19:00:05,14043.2,K5UV,37,7,K1RA-4
19:00:05,14043.2,K5UV,37,12,NG7M
19:00:05,14044.6,W0GAS,29,5,K7EK
19:00:06,14027.8,W8FN,39,35,W1NT-2
19:00:06,14030.4,EA6BF,31,44,OK1FCJ
19:00:06,14035.2,VE3JM,34,7,IT9GSF
19:00:06,14037.6,N4HAI,28,10,W1NT-2
19:00:06,14041.3,N5RZ,39,34,KD7EFG
19:00:06,14043.2,K5UV,37,14,W1NT-2
19:00:06,14055.0,EA4DE,17,29,IT9GSF
19:00:06,14072.8,I5EEE,23,24,IT9GSF
19:00:07,14027.8,W8FN,40,12,DL1HWS
19:00:07,14028.0,W8FN,40,9,DL5RCN
19:00:07,14030.6,EA6BF,28,21,DL5RCN
19:00:07,14031.0,K3WW,40,12,S53WW
19:00:07,14035.2,EC5ACA,17,8,DL5RCN
19:00:07,14055.0,EA4DE,17,20,S53WW
19:00:08,14027.7,W8FN,39,32,KM3T-5
19:00:08,14027.8,W8FN,40,17,AC0C-1
19:00:08,14027.8,W8FN,39,31,KM3T-3
19:00:08,14030.4,EA6BF,31,43,MM0ZBH
19:00:08,14030.4,AD4EB,36,8,S53A
19:00:08,14031.0,K3WW,40,22,K4PP
19:00:08,14041.0,TA3DKT,32,15,SE5E
19:00:08,14043.2,K5UV,37,10,KM3T-3
19:00:08,14055.0,EA4DE,17,22,SE5E
19:00:08,14055.0,EA4DE,17,24,S53A
19:00:09,14027.4,N8KH,37,8,ND7K
19:00:09,14027.4,N8KH,37,12,WA7LNW
19:00:09,14027.7,W8FN,40,9,ND7K
19:00:09,14027.8,W8FN,39,18,TI7W
19:00:09,14027.8,W8FN,39,30,KM3T-2
